Date,Report Time,Incident Time,Nearest Address to Incident,Incident Category,Incident Summary,Incident Alert,Alert Type,Incident ID,Alert ID
10/9/22,6:34 AM,,,Search,Police are searching for the suspect.,"UPDATE at 6:34 a.m. Sunday: Police are still searching for the suspect. Photo of the suspect is here:

suspect",Update,5,11
10/9/22,6:01 AM,,,,"Suspect may have have a tattoo on his arm, height possibly closer to 5-foot-8.","UPDATE at 6:01 a.m. Sunday: Suspect may have have a tattoo on his arm, height possibly closer to 5-foot-8.",Update,5,12
10/9/22,5:57 AM,,,Home Invasion,"Robbery with possible black handgun, suspect is man of 50s or 60s, 5'10, grey/black hair, no shirt and blue jeans","UPDATE at 5:57 a.m. Sunday: Seattle police are investigating a home invasion robbery in which a suspect may have had a black handgun. The suspect is described as a man in his 50s or 60s, 5-foot-10 with gray or black hair, no shirt and blue jeans. Avoid the area until further notice, if possible. People living in the area should stay inside and lock doors and windows until further notice.",Update,5,13
10/9/22,5:52 AM,5:52 AM,18th Ave. and NE 47th St.,Home Invasion,Robbery on 4700 block,"ORIGINAL POST at 5:52 a.m. Sunday: Seattle PD investigating home invasion robbery on 4700 block of 18th Ave. NE. Avoid area. More info: alert.uw.edu

Sent at 5:52am Sun",Original,5,14
10/2/22,2:22 AM,,,Shooting,No suspect has been found in the U District shooting,UPDATE at 2:22 a.m. Sunday: No suspect has been found in the U District shooting. Seattle PD has reopened the area. Please remain vigilant. Any further updates will be provided here as they become available.,Update,6,15
10/2/22,1:52 AM,,,Shooting,4 reported victims with non-life-threatening injuries,UPDATE at 1:52 a.m. Sunday: A fourth victim with non-life-threatening injuries is reported to have been shot in this incident. Seattle police are still searching the area.,Update,6,16
10/2/22,1:22 AM,Unknown,NE 43rd Street and University Way NE,Shooting,Three people shot at a business near the corner of NE 43rd Street and University Way NE suspect left the area on foot in an unknown direction of travel.,"UPDATE at 1:22 a.m. Sunday: Three people are reported to have been shot at a business near the corner of NE 43rd Street and University Way NE. The suspect left the area on foot in an unknown direction of travel. The suspect is described as being a male around 6-foot-2 with a large build, a cut or gash near one eyebrow, wearing a dark-colored cap and dark hoodie. Please avoid the area until more information is provided. All three victims’ injuries are not believed to be life threatening.",Update,6,17
10/2/22,1:15 AM,1:05 AM,NE 43rd St & U Way NE,Shooting,Reported at business near the intersection.,"ORIGINAL POST at 1:15 a.m. Sunday: Shooting reported at business near NE 43rd St & U Way NE at 1:05am. Avoid area. Info: alert.uw.edu

Sent at 1:15am Sun",Original,6,18
9/12/22,2:11 PM,,NE 45th Street and 19th Avenue NE,Fallen Tree,Individual injured,UPDATE at 2:11 p.m. Monday: The individual injured by a fallen tree branch near NE 45th Street and 19th Avenue NE has been transported to a nearby hospital and is in satisfactory condition. Traffic is now mostly open in both directions.,Update,7,19
9/12/22,12:58 PM,-,NE 45th Street between 17th Ave. NE and 21st Ave. NE,Traffic Blockage,Fallen tree branch in the roadway that injured an individual.,UPDATE at 12:58 p.m. Monday: Traffic is blocked in both directions on NE 45th Street between 17th Ave. NE and 21st Ave. NE while emergency responders address a large tree branch in the roadway that fell and injured an individual. The individual is being transported to a nearby hospital and emergency responders are working to clear the roadway. There is considered to be no ongoing safety threat to the campus community. Please avoid the area until more information is provided.,Update,7,20
9/12/22,12:52 PM,,NE 45th St/19th Ave NE,Emergency,Traffic disruption,"ORIGINAL POST: Traffic disruption at NE 45th St/19th Ave NE due to emergency response. No threat to campus. More info: alert.uw.edu

Sent 12:52pm Mon",Original,7,21
9/2/22,10:17 AM,,,Brush fire,Small brush fire in the area west of the Center for Urban Horticulture. All clear.,UPDATE at 10:17 a.m. Friday: Seattle Fire Department personnel have put out a small brush fire in the area west of the Center for Urban Horticulture. All clear. Any ongoing Seattle Fire Department presence in the area is due to training activities being conducted.,Update,8,22
9/2/22,10:11 AM,Unknown,Unknown,Brush Fire,Small brush fire in the open area west of the Center for Urban Horticulture,UPDATE at 10:11 a.m. Friday: Seattle fire and UWPD are responding to a small brush fire in the open area west of the Center for Urban Horticulture. Please avoid the area until more information is provided.,Update,8,23
9/2/22,10:08am,,,Fire Response,Grass area west of Center for Urban Horticulture.,"ORIGINAL POST: Fire response in grass area west of Center for Urban Horticulture. Avoid area. More info: alert.uw.edu

Sent at 10:08am Fri",Original,8,24
8/30/22,9:35 AM,,18th Ave. NE and NE 50th Street,Shots Fired,"Two men were heard arguing in an alley, followed by a loud bang. Both men were seen walking away. No evidence found on scene.","UPDATED at 9:35 a.m. Tuesday: The reports of shots fired early Tuesday morning in the area of 18th Ave. NE and NE 50th Street may have come from a cap gun after two men were heard arguing in an alley. Shortly after the reported loud bang, both men were seen walking away from the area in different directions. Officers were unable to find either person when they arrived, and there were no spent casings or other evidence found at the scene.",Update,9,25
8/30/22,5:42 AM,5:12 AM,NE 47th & 18th Ave,Shooting,"Shooter at large, traveling west.","ORIGINAL POST: Re: shots fired at NE 47th and 18th Ave NE. Shooter and victim not found. Scene secured. Info: alert.uw.edu [sent 5:42 Tuesday]

UW Alert Seattle (Shooting)

Shooting reported at NE 47th St and 18th Ave NE at 5:12 AM. Shooter at large, traveling west. Avoid area. Info: alert.uw.edu",Original,9,26
6/9/22,7:20 PM,,,Outage,T-Mobile is reporting the outage issue is fully resolved.,UPDATE at 7:20 p.m.: T-Mobile is reporting the outage issue is fully resolved.,Update,10,27
6/9/22,5:40 PM,,,,T-Mobile Issue,"UPDATE at 5:40 p.m.: T-Mobile indicated it has implemented a workaround and callers in the Puget Sound region, including in King and Pierce counties, should be able call and text 9-1-1 for emergencies.",Update,10,28
6/9/22,1:56 PM,,,Outage,"Regional outage affecting customers in King and Pierce Counties, as well as other parts of western Washington. Some users may not be able to call or text 9-1-1","ORIGINAL POST at 1:56 p.m.: T-Mobile is reportedly experiencing a regional outage that is affecting some customers in King and Pierce counties, as well as other parts of western Washington. Some users may not be able to call or text 9-1-1.

See the T-Mobile outage map: https://downdetector.com/status/t-mobile/map/

There is no known timeline for resolution yet.",Original,10,29
5/25/22,7:04 PM,,U District Light Rail station on Brooklyn Ave. NE,Stabbing,"Seattle Police and UWPD investigate the stabbing, suspect not found","UPDATE at 7:04 p.m.: Seattle Police and UWPD continue to investigate the stabbing at the U District Light Rail station on Brooklyn Ave. NE, but the suspect has not been found. Updates will be provided here as available.

Suspect photo released by Seattle Police.",Update,11,30
5/25/22,6:26 PM,,,Suspect Sighting,"Male, 5-foot-8, medium build, wearing blue jeans, black hat and a black shirt, riding a bicycle.","UPDATE at 6:26 p.m.: Suspect described as a male, about 5-foot-8, medium build, wearing blue jeans, black hat and a black shirt, riding a bicycle.",Update,11,31
5/26/22,6:19 PM,Unknown,U District Light Rail station,Stabbing,Two victims reported,"ORIGINAL POST at 6:19 p.m.: Stabbing reported at U District Light Rail station on Brooklyn. Suspect may be on campus.

Police are at the scene of a stabbing in the 4300 block of Brooklyn Ave NE. Two victims reported at this time. Officers are searching the area for a suspect. More information when available.

— Seattle Police Dept. (@SeattlePD) May 26, 2022",Original,11,32
5/24/22,5:49 PM,,University Way NE and NE 43rd St,Robbery,Police have not located the suspect,UPDATE at 5:49 p.m.: Police have not located the suspect in the robbery at University Way NE and NE 43rd St. The scene is considered secure. All clear.,Update,12,33
5/24/22,5:30 PM,5:30 PM,University Way NE and NE 43rd St,Robbery,"Suspect stole items and claimed to have a weapon, but none was seen.","ORIGINAL POST at 5:30 p.m.: Police are reporting a robbery at a business on University Way NE and NE 43rd St. The suspect stole items and claimed to have a weapon, but none was seen. The suspect was last seen heading eastbound on NE 43rd St.

The suspect is described as a man, between the ages of 30 and 40, 5-foot-10 or 5-foot-11, dark hair, wearing green pants, a yellow jacket and a white T-shirt. If seen, please call 9-1-1.

More info will be provided here as available.",Original,12,34
4/20/22,4:45 PM,,,Network Outage,"Verizon service has been restored for Washington state customers, including emergency calls to 9-1-1. Users are advised to restart their phones.","UPDATE at 4:45 p.m.: Verizon service has been restored for Washington state customers, including emergency calls to 9-1-1. Users are advised to restart their phones.

Officials with @Verizon tell us their network should be operational again in Washington state. Users impacted should power cycle their phones (turn off and on again). If you are still having issues, contact @VerizonSupport. #verizonoutage #verizondown

— WA Emergency Management (@waEMD) April 20, 2022",Update,13,35
4/20/22,3:12 PM,,,Nationwide Outage,"Verizon is experiencing a nationwide outage across the country and in the Seattle area. Some calls by Verizon customers, including to 9-1-1, may not go through.","ORIGINAL POST at 3:12 p.m.: Verizon is experiencing a nationwide outage across the country and in the Seattle area. Some calls by Verizon customers, including to 9-1-1, may not go through.

Verizon customers experiencing an emergency can try Text-to-9-1-1, or call from a landline or a phone on another carrier. Please do not call or text 9-1-1 to test the system.

Verizon users can test their voice outage by calling #832.

There is no estimated time for when this issue will be resolved.

We're aware of issues affecting Verizon customers nationwide and in the Seattle area.

If you're a Verizon customer with a 9-1-1 emergency, try Text-to-9-1-1, or calling from a landline or a phone on another carrier.

Text-to-9-1-1 service is functioning for Verizon customers.

— King County, WA (@KingCountyWA) April 20, 2022

Updates will be provided here as available.",Original,13,36
4/8/22,11:55 AM,,,,All clear,UPDATE at 11:55 a.m.: All clear. The issue around dialing 9-1-1 from Seattle campus has been resolved. Campus phones should now be able to reach UWPD when dialing 9-1-1. Please do not test the system. Only call 9-1-1 for a real emergency.,Update,14,37
4/8/22,9:08 AM,,,911 Issue,"9-1-1 calls from campus buildings are being routed to Seattle Police Department dispatch, which then need to be transferred to UWPD dispatch.","ORIGINAL MESSAGE sent at 9:08 a.m.:

Officials have reported a 9-1-1 issue affecting parts of the Seattle campus. To reach UWPD, please call 206-685-8973.

Typically, 9-1-1 calls from campus buildings go directly to UWPD. However, due to an unknown issue, some calls to 9-1-1 from campus buildings are being routed to Seattle Police Department dispatch, which then need to be transferred to UWPD dispatch. More info will be provided in this post when available.",Original,14,38
3/23/22,8:00 AM,,,,Indoor Alert test concluded,UPDATE at 8 a.m.: The Indoor Alert test has concluded.,Update,15,39
3/20/22,1:38 PM,,,,"Seattle police investigation is ongoing, scene is considered secure","UPDATE at 1:38 p.m.: The Seattle police investigation is ongoing, but the scene is considered secure. Any further updates will be provided here as they become available.",Update,15,40
3/20/22,,,7th Ave. NE and the I-5 Express Lanes on- and off-ramps,Shooting,"Seattle police are investigating a shooting near the stated intersection. The suspect is believed to have left the scene in a full-sized white truck or SUV, such as a Chevrolet Avalanche or Honda Ridgeline. The direction of travel was unknown.","ORIGINAL POST: Seattle police are investigating a shooting near 7th Ave. NE and the I-5 Express Lanes on- and off-ramps. There is no significant suspect description available. Please avoid the area. The suspect is believed to have left the scene in a full-sized white truck or SUV, such as a Chevrolet Avalanche or Honda Ridgeline. The direction of travel was unknown.

More information will be provided here as it becomes available.",Original,15,41
3/5/22,1:10 AM,,NE 42nd St and Brooklyn Ave. NE,Armed Robbery,No reported injuries,"UPDATE at 1:10 a.m. Saturday: Seattle police have tracked a cell phone that was taken in the reported armed robbery near NE 42nd St and Brooklyn Ave. NE to another area of the city. The scene in the U District is considered secure.

There were no reported injuries in the robbery.",Update,16,42
3/5/22,12:53 AM,12:53 AM,NE 42nd St and Brooklyn Ave NE,Armed Robbery,Suspect displayed firearm,"ORIGINAL POST at 12:53 a.m. Saturday: Seattle police are responding to a reported armed robbery near NE 42nd St and Brooklyn Ave NE. The suspect displayed a firearm. Avoid the area, if possible. More information will be posted here as it becomes available.",Original,16,43
3/1/22,2:45 PM,,NE 42nd Street and University Way NE,Carjacking,"Suspect not found, believed to have left the area. Scene has been cleared.","UPDATE at 2:45 p.m.: The suspect in the reported carjacking at NE 42nd Street and University Way NE has not been found and is believed to have left the area. The scene has been cleared.

If anyone has information to report on this incident, contact UWPD at 206-685-8973.",Update,17,44
3/1/22,2:23 PM,2:05 PM,NE 42nd Street and University Way NE,Carjacking,Suspect displayed a weapon and was heading southbound on University Way NE in a silver Dodge Dart sedan with no reported injuries,"ORIGINAL POST at 2:23 p.m.: Seattle Police have reported a carjacking that took place at NE 42nd Street and University Way NE around 2:05 p.m. The suspect displayed a weapon and then headed southbound on University Way NE in the vehicle, which is a silver Dodge Dart sedan. No injuries were reported. 

The suspect is described as a man, age 18 to 20, 5-foot-10, wearing a blue hooded sweatshirt and a blue surgical mask. The suspect carried a firearm on his waistband. ",Original,17,45
1/25/22,12:55 AM,Unknown,NE 42nd Street and University Way,Armed Robbery,Search concluded,UPDATE at 12:55am: Seattle police have concluded a search for the suspects in an armed robbery near NE 42nd Street and University Way NE. The scene is considered secure. All clear. Any further updates will be provided on this page as they become available.,Update,18,46
1/25/22,,,NE 42nd Street & University Way NE,Armed Robbery,Two men entered the business and displayed weapons before fleeing on foot,ORIGINAL POST: Seattle police are investigating an armed robbery at a restaurant near NE 42nd Street and University Way NE. Two men entered the business and displayed weapons before fleeing on foot. Please avoid the area. More information will be provided here as it becomes available.,Original,18,47
1/24/22,11:35 AM,,,Carjacking,Arrest of two suspects,UPDATE at 11:35 a.m. Thursday: Seattle police reported Thursday that they arrested two suspects on Wednesday night in connection with this carjacking incident and are investigating their possible involvement in a string of other incidents in the University District.,Update,19,48
1/24/22,8:52 PM,,,Attempted Carjacking,Seattle police have secured the scene of the attempted carjacking and continue to search the area for the suspect vehicle.,UPDATE at 8:52 p.m.: Seattle police have secured the scene of the attempted carjacking and continue to search the area for the suspect vehicle. The scene is considered clear. Anyone who sees the suspect vehicle is asked to call 911 with the information. Any further updates will be provided on this post as they become available.,Update,19,49
1/24/22,,,NE 45th Street and 21st Avenue NE,Carjacking Attempt,"Two suspects attempted to carjack an individual near NE 45th Street and 21st Avenue NE with one suspect displaying a Taser-like weapon. They were not able to steal the victim’s car and left westbound on NE 45th Street in a dark gray sedan, possibly a Honda, with silver rims and a temporary tag in the rear window and no license plate.","ORIGINAL POST: Two suspects attempted to carjack an individual near NE 45th Street and 21st Avenue NE. One of the suspects displayed a Taser-like weapon. They were not able to steal the victim’s car and left westbound on NE 45th Street in a dark gray sedan, possibly a Honda, with silver rims and a temporary tag in the rear window and no license plate.   

Seattle police are on the scene and investigating. Please avoid the area. 

This post will be updated as more information becomes available.",Original,19,50
1/16/22,12:53 AM,,NE 42nd Street and University Way NE,Carjacking,Vehicle recovered,UPDATE at 12:53 a.m.: The area near a reported carjacking at NE 42nd Street and University Way NE has been cleared. The stolen vehicle has been contacted by police near NE 153rd St and Bothell Way NE. All clear.,Update,20,51
1/16/22,,,NE 42nd Street and University Way NE,Carjacking,"Two suspects stole a grey-colored Toyota Prius, one displaying a gold-colored handgun.","ORIGINAL POST: Seattle police are investigating a reported carjacking near NE 42nd Street and University Way NE. Please avoid the area. Two suspects, one who displayed a gold-colored handgun, stole a gray-colored Toyota Prius. More information will be provided here as it becomes available. ",Original,20,52
12/29/21,8:35 AM,No applicable incident time,No applicable intersection,Weather Update,"Winter weather update across all UW campuses with normal operations at Seattle and Bothell, suspended operations at UW Tacoma. Units can implement elements of their BARC plans as needed. Use caution when walking or driving on and around UW campuses.","Winter weather update

The UW Weather Status Assessment Group is monitoring the snowy conditions on and around our campuses and throughout the region. Given minimal activities during the winter break, campus operations are normal at this time in Seattle and Bothell. UW Tacoma has announced suspended operations for Thursday, Dec. 30. Please continue to check with your individual units, programs and campuses for more information.

Units are authorized to implement elements of their Business, Academic and Research Continuity (BARC) plans, as needed, to maintain critical functions.

More information will be provided here if there is any change in campus operations. Updates on weather-related plans at UW Bothell will be reported as they become available, and can be found at uwb.edu/emergency. Updates for UW Tacoma can be found at tacoma.uw.edu/2021snow. Weather-related Information for UW Medicine sites can be found at uwmedicine.org.

Please use caution when walking or driving on and around UW campuses. See the status of Seattle campus shuttles, parking lots, streets and pathways here.

NOTE: If you don’t already receive UW Alert and UW Advisory messages for important updates about emergencies or weather-related notices by text and/or email, click here to subscribe or update your settings.

(This post was updated at 8:35 a.m. Dec. 30 to reflect UW Tacoma’s operational status on Dec. 30.)",Original,21,53
12/9/21,5:01 PM,,,No Incident,All Clear,UPDATE at 5:01 p.m.: All clear. 911 service has been restored across the region.,Update,22,54
12/9/21,4:03 PM,,,System Outage,911 System Outage,"ORIGINAL POST at 4:03 p.m.: A 911 system outage throughout the region was reported Thursday afternoon. If you are on campus and need to reach UWPD in an emergency and experience any issues with 911, please call 206-685-8973.

Elsewhere in Seattle, if you cannot connect to 911, please call 206-583-2111, 206-625-5011 or text 911 only for emergencies.

Please do not test 911.

This website provides alternative phone numbers for emergencies statewide, if needed: https://mil.wa.gov/911-alternative-phone-numbers",Original,22,55
12/2/21,1:00 PM,1:00 PM,Savery Hall & HUB,False Report,An individual was yelling there was an active shooter but it was confirmed that the claims were false.,"Confirming false report of an active shooter on campus Thursday

Around 1 p.m. Thursday, UWPD began receiving calls regarding an individual yelling that there was an active shooter on the Seattle campus. There is no active shooter on campus. The individual reportedly yelled this in Savery Hall and moved toward the HUB. UW police contacted the individual and confirmed that the claims were false and that there was no active shooter.",Original,23,56
11/12/21,10:55 AM,,University Bridge,Traffic,Bridge reopened,"UPDATE at 10:55 a.m. Sunday: The University Bridge is back open and operating normally. Traffic has resumed to cars, bikes and pedestrians.",Update,24,57
11/14/21,,,,,The University Bridge is back open!,"UPDATE: The University Bridge is back open! Thank you for your patience and please drive safely in the wet weather. pic.twitter.com/HoFyKtzjDq

— SDOT Traffic (@SDOTtraffic) November 14, 2021",Update,24,58
11/12/21,10:18 AM,,University Bridge,Traffic Delay,Bridge stuck open,"UPDATE at 10:18 a.m. Saturday: The University Bridge is still stuck in an open position. SDOT does not expect a repair until this evening. Anyone coming to campus today, including for the 4 p.m. UW football game, must use alternate routes. Updates will be provided here as they become available.",Update,24,59
11/12/21,,,,Transportation,University Bridge stuck in upright position; crews working on evening repairs; recommend using Link Light Rail for travel,"UPDATE: The University Bridge remains stuck in an upright position. Crews continue to work on repairs and do not expect a repair until this evening. With today’s Husky game, we encourage using @SoundTransit Link Light Rail for travel.

— SDOT Traffic (@SDOTtraffic) November 13, 2021",Update,24,60
11/12/21,1:01 PM,Unknown,University Bridge,Mechanical Issue,Stuck in upright position; use alternate routes,"ORIGINAL POST: The University Bridge is stuck in an open position and has been for nearly two hours. Please use alternate routes until further notice. Follow @SDOTtraffic on Twitter for more updates, and this post will be updated as information becomes available.

The University Bridge is experiencing mechanical issues and is stuck in the upright position. Use alternate routes. pic.twitter.com/tkhSc1QHbD

— SDOT Traffic (@SDOTtraffic) November 12, 2021

Info: alert.uw.edu

Sent at 1:01:37 PM Fri",Original,24,61
11/10/21,10:50 AM,,17th Ave. NE; NE 47th St. and NE 50th St.,,Seattle Police have opened all roads near the site of this morning’s incident.,UPDATE at 10:50 a.m.: Seattle Police have opened all roads near the site of this morning’s incident (17th Ave. NE between NE 47th St. and NE 50th St.) following their investigation.,Update,25,62
11/10/21,6:47 AM,,17th Ave. NE and NE 47th St.,Carjacking,Suspect in custody,"UPDATE at 6:47 a.m.: Seattle Police have a suspect in custody without incident after an earlier carjacking that occurred in Seattle’s Madison Valley neighborhood. Police took the suspect into custody after surrounding the suspect’s vehicle on 17th Ave. NE between NE 47th St. and NE 50th St. The scene is now secure. Traffic closures may persist; please avoid the area.

Officers have taken the suspect into custody at 17 Ave Ne/Ne 47th St. traffic in the area will be difficult while the investigation continues. To clarify some misinformation, the vehicle stolen was not a @SeattleSPU truck. https://t.co/C4rpnHAIhX

— Seattle Police Dept. (@SeattlePD) November 10, 2021",Update,25,63
11/10/21,6:30 AM,,17th Ave. NE and NE 47th St.,Carjacking,Seattle Police have located a suspect in an earlier carjacking incident in Seattle’s Madison Valley neighborhood and have surrounded the suspect’s vehicle.,UPDATE at 6:30 a.m.: Seattle Police have located a suspect in an earlier carjacking incident that occurred in Seattle’s Madison Valley neighborhood and have surrounded the suspect’s vehicle on 17th Ave. NE between NE 47th St. and NE 50th St. Traffic is blocked in the area. Please avoid the area.,Update,25,64
11/10/21,6:27 AM,6:27 AM,17th Ave NE & NE 47th St.,Police Investigation,Avoid the area,ORIGINAL POST at 6:27 a.m.: Seattle Police investigation at 17th Ave NE between NE 47th St. and NE 50th St. Avoid the area.,Original,25,65
10/28/21,7:20 PM,Not Specified,Not Specified,Chemical Spill,Hazardous materials response and area secured by Seattle Fire Department at Electrical and Computer Engineering Building connected to Paul G. Allen Center.,"UPDATE at 7:20 p.m: All clear. The hazardous materials response is complete and Seattle Fire Department has secured the area. The lab where the chemical spill occurred was in the Electrical and Computer Engineering Building, which is connected to the Paul G. Allen Center for Computer Science and Engineering. ",Update,26,66
10/28/21,6:47 PM,,,Hazardous Materials Spill,"Person has been decontaminated, no injuries; Lab to be closed, locked, decontaminated and cleaned.","UPDATE at 6:47 p.m.: The person involved with the hazardous materials spill has been decontaminated and has no injuries. The lab where the spill occurred will be closed, locked, decontaminated and cleaned.",Update,26,67
10/29/21,6:30 PM,,Paul G. Allen Center for Computer Science & Engineering,Hazardous Materials Spill,One person has some of the leaked substance on their clothes and is getting a decontamination wash down.,"ORIGINAL POST at 6:30 p.m.: Seattle Fire Department is responding to a hazardous materials spill near the Paul G. Allen Center for Computer Science & Engineering (map). Please avoid the area. Updates will be provided here as available.

UW incident update: one person has some of the leaked substance on their clothes and is getting a decontamination wash down.

— Seattle Fire Dept. (@SeattleFire) October 29, 2021",Original,26,68
10/21/21,10:21 AM,10:21 AM,,Test Alert,UW Alert notification system will be tested in conjunction with the Great ShakeOut 2021 international earthquake drill.,"UW Alert test on Oct. 21 timed with Great ShakeOut 2021

The UW Alert notification system will be tested on Thursday, Oct. 21, around 10:21 a.m., in conjunction with the Great ShakeOut 2021, an international earthquake drill. Read more about the drill, including activities in Washington state, here.

A test UW Alert message will be sent via email and text, and posted on the UW Alert Twitter feed and Facebook page, reminding people about the drill and directing them to more information about preparing for earthquakes. If you don’t already receive these UW Alert notifications, sign up and learn more here.

For more resources, check out UW Emergency Management’s earthquake drill information and the international Great ShakeOut website.

In the video below, Harold Tobin, UW professor of Earth and space sciences and director of the Pacific Northwest Seismic Network, discusses seismic risks in our region.",Original,27,69
7/29/21,6:35 AM,,E19 Lot Area,Carjacking,"2012 black Honda Civic, Washington license plate BIM1574","UPDATE at 6:35 a.m.: The carjacking suspects are believed to have left the E19 lot area (map) in a 2012 black Honda Civic, with Washington license plate BIM1574. UWPD, SPD are still investigating. All clear.",Update,28,70
7/29/21,6:15 AM,,Husky Stadium,Carjacking,"Four suspects displayed gun, stole car (2012 black Honda Civic) and left, headed northbound.","ORIGINAL POST at 6:15 a.m.: Reported carjacking in E19 parking lot, immediately south of Husky Stadium (map). Four suspects displayed gun, stole car (2012 black Honda Civic) and left, headed northbound.

UWPD and SPD officers are in the area.",Original,28,71
7/20/21,1:36 PM,,University Village,Armed Robbery,Reported armed robbery at a business,"UPDATE at 1:36 p.m.: Seattle police are on the scene of the reported armed robbery at a business at University Village. The suspect is believed to have left the area. The investigation continues, but the area is clear.",Update,29,72
7/27/21,,,University Village,Armed Robbery,Suspect reportedly displayed a gun at several people but did not fire and took some items before fleeing in a white van.,ORIGINAL POST: An armed robbery was reported at a business at University Village. The suspect reportedly displayed a gun at several people but did not fire and took some items before fleeing in a white van. The van was last seen headed northbound on Union Bay Place NE. More information will be provided here as it becomes available.,Original,29,73
6/24/21,12:32 PM,,4300 block of University Way NE,Armed Robbery,Suspect in custody,[UPDATE at 12:32 p.m.] All clear. A suspect is in custody in relation to the armed robbery at a business in the 4300 block of University Way NE. Anyone who may have witnessed the robbery can contact the Seattle Police Department at 206-625-5011.,Update,30,74
6/24/21,,,4300 block of University Way NE,Armed Robbery,Suspect displayed handgun before leaving,"[ORIGINAL POST] An armed robbery was reported at a business in the 4300 block of University Way NE. The suspect displayed a handgun before leaving the business. There is no suspect description at this point.

More information will be provided here as it becomes available.",Original,30,75
