,Date,Report Time,Incident Time,Nearest Address to Incident,Incident Category,Incident Summary,Incident Alert,Alert Type,Incident ID,Alert ID,Google Address,geometry
10,2023-04-21,17:30:00,16:50:00,45th Street and University Way,,"Police searched the area, but were unable to locate the man. If you see someone matching the description, call 911.","UPDATE at 5:30 p.m.: Police searched the area, but were unable to immediately locate the man. If you see someone matching the description, call 911.",Update,4,11,"University Way NE & NE 45th St, Seattle, WA 98105, USA","{'location': {'lat': 47.6612874, 'lng': -122.3131373}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 47.6626363802915, 'lng': -122.3117883197085}, 'southwest': {'lat': 47.6599384197085, 'lng': -122.3144862802915}}}"
11,2023-04-21,16:50:00,16:50:00,45th Street and University Way,Assault and Robbery,Person withdrawing money from the ATM was hit on the head by a man who stole the money.,"ORIGINAL POST: Seattle police are investigating a report of an assault and robbery outside a bank at 45th Street and University Way at about 4:50 p.m. A person withdrawing money from the ATM was hit on the head by a man who stole the money. The man is described as in his 50s, about 5-foot-8, wearing a green beanie and a black coat. If you see this man, call 911.",Original,4,12,"University Way NE & NE 45th St, Seattle, WA 98105, USA","{'location': {'lat': 47.6612874, 'lng': -122.3131373}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 47.6626363802915, 'lng': -122.3117883197085}, 'southwest': {'lat': 47.6599384197085, 'lng': -122.3144862802915}}}"
12,2023-04-12,,,University of Washington,Phone Scam,Reports of students being called from a phone number appearing to come from UW police's main office and threatened with legal action if money is not provided.,"University of Washington Police have received reports of students who have been called by a phone number that appears to come from UW police's main office. 

The caller has threatened legal action if money is not provided. This is a scam. Do not provide personal information, money, gift cards or anything of value to the caller. 

If you have been contacted by someone claiming to be from UW police, please call the UW police non-emergency number at 206-685-8973.",Original,5,13,"1410 NE Campus Pkwy, Seattle, WA 98195, USA","{'location': {'lat': 47.65464069999999, 'lng': -122.3074579}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6612139, 'lng': -122.2928524}, 'southwest': {'lat': 47.6476148, 'lng': -122.3190143}}}"
13,2023-04-05,13:42:00,12:40:00,9th Avenue NE and 43rd Avenue NE,Robbery,Search ongoing,"UPDATE at 1:42 p.m. The search for the robbery suspect is ongoing. If you see him, call 911.",Update,6,14,"9th Ave NE & NE 43rd St, Seattle, WA 98105, USA","{'location': {'lat': 47.6594591, 'lng': -122.3188046}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 47.6608080802915, 'lng': -122.3174556197085}, 'southwest': {'lat': 47.6581101197085, 'lng': -122.3201535802915}}}"
14,2023-04-05,13:25:00,12:40:00,9th Avenue NE and 43rd Avenue NE,Robbery,"Suspect photo located, no longer wearing hockey mask.","UPDATE at 1:25 p.m Seattle police provided this photo of the robbery suspect. The hockey mask has been located, and police believe he is no longer wearing a mask. If you see this man, call 911.

.",Update,6,15,"9th Ave NE & NE 43rd St, Seattle, WA 98105, USA","{'location': {'lat': 47.6594591, 'lng': -122.3188046}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 47.6608080802915, 'lng': -122.3174556197085}, 'southwest': {'lat': 47.6581101197085, 'lng': -122.3201535802915}}}"
15,2023-04-05,13:17:00,12:40:00,9th Avenue NE and 43rd Avenue NE,Robbery,Witnesses reported robbery; victim not located; suspect still being searched for.,"UPDATE at 1:17 p.m. Seattle police continue to investigate the robbery, which was reported by witnesses. At this time, the victim has not been located. Police are still searching for the suspect.",Update,6,16,"9th Ave NE & NE 43rd St, Seattle, WA 98105, USA","{'location': {'lat': 47.6594591, 'lng': -122.3188046}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 47.6608080802915, 'lng': -122.3174556197085}, 'southwest': {'lat': 47.6581101197085, 'lng': -122.3201535802915}}}"
16,2023-04-05,13:00:00,12:40:00,9th Avenue NE and 43rd Avenue NE,Robbery,"Gun implied; cell phone stolen; suspect wearing hockey mask, black pants, and red shirt; last seen headed northwest","UPDATE at 1:00 p.m. Robbery reported at 12:40 p.m. at 9th Avenue NE and 43rd Avenue NE, gun implied. A cell phone was stolen. Suspect wearing hockey mask, black pants, and red shirt and was last seen headed northwest. Police are responding.",Update,6,17,"9th Ave NE & NE 43rd St, Seattle, WA 98105, USA","{'location': {'lat': 47.6594591, 'lng': -122.3188046}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 47.6608080802915, 'lng': -122.3174556197085}, 'southwest': {'lat': 47.6581101197085, 'lng': -122.3201535802915}}}"
17,2023-04-05,12:53:00,12:40:00,9th & 43rd,Robbery,Gun implied,"ORIGINAL POST: Robbery @ 9th & 43rd, 12:40pm, gun implied. Suspect wearing hockey mask, black pants, red shirt. Info: alert.uw.edu Sent 12:53pm Wed",Original,6,18,"9th Ave NE & NE 43rd St, Seattle, WA 98105, USA","{'location': {'lat': 47.6594591, 'lng': -122.3188046}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 47.6608080802915, 'lng': -122.3174556197085}, 'southwest': {'lat': 47.6581101197085, 'lng': -122.3201535802915}}}"
18,2023-04-04,23:07:00,,19th Ave. NE and NE 45th St.,,,UPDATE at 11:07 p.m.: The victim in this incident does not appear to be affiliated with the UW.,Update,7,19,"19th Ave NE & NE 45th St, Seattle, WA 98105, USA","{'location': {'lat': 47.6612605, 'lng': -122.3072522}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 47.66260948029149, 'lng': -122.3059032197085}, 'southwest': {'lat': 47.65991151970849, 'lng': -122.3086011802915}}}"
19,2023-04-04,21:56:00,,19th Ave. NE and NE 45th St.,Stabbing,One person took into custody for stabbing someone with a machete,"UPDATE at 9:56 p.m.: Seattle police have taken one person into custody following an incident in which the individual stabbed someone, reportedly with a machete. The victim was found near 19th Ave. NE and NE 45th St. and was treated at the scene before being transported to Harborview Medical Center. The weapon was found quickly in a nearby yard, prompting police to believe there was no ongoing threat to the community while they searched for the suspect. SPD located the suspect and took him into custody.",Update,7,20,"19th Ave NE & NE 45th St, Seattle, WA 98105, USA","{'location': {'lat': 47.6612605, 'lng': -122.3072522}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 47.66260948029149, 'lng': -122.3059032197085}, 'southwest': {'lat': 47.65991151970849, 'lng': -122.3086011802915}}}"
20,2023-04-04,12:00:00,,"19th Ave. NE, NE 45th St.",Possible Altercation,Injuries to one person,"ORIGINAL POST: Seattle Police and Seattle Fire Department are in the area of 19th Ave. NE just north of NE 45th St. in response to a possible altercation that resulted in injuries to one person. Police believe there is no ongoing threat to the community, but please avoid the area while SPD and SFD conduct their work.",Original,7,21,"19th Ave NE & NE 45th St, Seattle, WA 98105, USA","{'location': {'lat': 47.6612605, 'lng': -122.3072522}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 47.66260948029149, 'lng': -122.3059032197085}, 'southwest': {'lat': 47.65991151970849, 'lng': -122.3086011802915}}}"
21,2023-03-23,16:25:00,,University Way NE near NE 43rd Street,Altercation,Injured person found in the Roosevelt neighborhood appears to have been punched rather than stabbed and there does not appear to have been a weapon involved in the altercation,"UPDATED at 4:25pm Thursday: Police do not believe this incident was a stabbing. The injured person found in the Roosevelt neighborhood appears to have been punched rather than stabbed and there does not appear to have been a weapon involved in the altercation, and it is unclear which of the individuals was the victim or the assailant. Seattle police have the reopened the area along University Way NE near NE 43rd Street, and there no longer appears to be any danger to the community in relation to this incident.",Update,8,22,"1410 NE Campus Pkwy, Seattle, WA 98195, USA","{'location': {'lat': 47.65464069999999, 'lng': -122.3074579}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6612139, 'lng': -122.2928524}, 'southwest': {'lat': 47.6476148, 'lng': -122.3190143}}}"
22,2023-03-23,15:23:00,,Roosevelt Sound Transit Station,Assault,Abrasion to face and bloody nose,UPDATED at 3:23pm Thursday: The victim's injuries do not appear to be consistent with a stabbing. The victim has an abrasion to the face and a bloody nose and may have been punched rather than stabbed.,Update,8,23,"U District, Seattle, WA 98105, USA","{'location': {'lat': 47.66074099999999, 'lng': -122.3140646}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 47.66209103029149, 'lng': -122.3128499197085}, 'southwest': {'lat': 47.65939306970849, 'lng': -122.3155478802915}}}"
23,2023-03-23,15:10:00,,Roosevelt Sound Transit Station,Victim Located,Victim found after getting on a train headed north from the University District station.,UPDATED at 3:10pm Thursday: The victim has been located just south of the Roosevelt Sound Transit station after apparently getting on a train headed north from the University District station.,Update,8,24,"U District, Seattle, WA 98105, USA","{'location': {'lat': 47.66074099999999, 'lng': -122.3140646}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 47.66209103029149, 'lng': -122.3128499197085}, 'southwest': {'lat': 47.65939306970849, 'lng': -122.3155478802915}}}"
24,2023-03-23,15:00:00,,NE 43rd Street and University Way NE,,Suspect wearing black shirt and black hoodie; victim wearing green shirt and possibly reflective vest or jacket.,UPDATED at 3pm Thursday: The suspect is described as a male wearing a black shirt and black hoodie. The victim is reported to be wearing a green shirt and possibly a reflective vest or jacket.,Update,8,25,"University Way NE & NE 43rd St, Seattle, WA 98105, USA","{'location': {'lat': 47.6598062, 'lng': -122.3131848}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 47.66115518029149, 'lng': -122.3118358197085}, 'southwest': {'lat': 47.6584572197085, 'lng': -122.3145337802915}}}"
25,2023-03-23,14:56:00,,NE 43rd Street and University Way NE,Stabbing,Seattle police are looking for the victim and suspect in a reported stabbing incident near NE 43rd Street and University Way NE. Both individuals fled the scene.,UPDATED at 2:56pm Thursday: Seattle police are looking for both the victim and suspect in a reported stabbing incident near NE 43rd Street and University Way NE. Both individuals fled the scene. More information will be provided here as it becomes available.,Update,8,26,"University Way NE & NE 43rd St, Seattle, WA 98105, USA","{'location': {'lat': 47.6598062, 'lng': -122.3131848}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 47.66115518029149, 'lng': -122.3118358197085}, 'southwest': {'lat': 47.6584572197085, 'lng': -122.3145337802915}}}"
26,2023-03-23,14:54:00,,43rd/U Way NE,Stabbing,Possible armed robbery,"ORIGINAL POST: Reported stabbing, possible armed robbery near 43rd/U Way NE. Victim and suspect left scene. More info: alert.uw.edu

Sent at 2:54pm Thu",Original,8,27,"University Way NE, Seattle, WA 98105, USA","{'bounds': {'northeast': {'lat': 47.67120300000002, 'lng': -122.313015}, 'southwest': {'lat': 47.65304449999998, 'lng': -122.3133565}}, 'location': {'lat': 47.6614651, 'lng': -122.3131373}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 47.67120300000002, 'lng': -122.3118367697085}, 'southwest': {'lat': 47.65304449999998, 'lng': -122.3145347302915}}}"
27,2023-03-18,02:53:00,01:00:00,Na,Fighting,Attempted to intervene in a fight and was shot in the ankle,"UPDATE at 2:53am Saturday: The incident appears to have stemmed from a fight outside of a business. The victim was attempting to intervene to stop the fight and was eventually shot in the ankle. The victim is not affiliated with the UW.

Seattle police have cleared the scene, will continue to look for the suspect and the area is reopened. Please stay vigilant and call 911 if you see someone matching the description.",Update,9,28,"University District, Seattle, WA, USA","{'bounds': {'northeast': {'lat': 47.6743199, 'lng': -122.2864358}, 'southwest': {'lat': 47.6474201, 'lng': -122.3222372}}, 'location': {'lat': 47.6627771, 'lng': -122.3138767}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 47.6743199, 'lng': -122.2864358}, 'southwest': {'lat': 47.6474201, 'lng': -122.3222372}}}"
28,2023-03-18,02:38:00,01:00:00,University Way NE near 42nd Street NE,Shooting,Man shot someone in ankle and fled with three other individuals,"UPDATE at 2:38am Saturday: Seattle police are looking for a man who shot someone in the ankle on University Way NE near 42nd Street NE before fleeing on foot northbound on University Way NE with three other individuals. The suspect is described as a man in his 20s wearing an orange, blue and green sweater, with an afro, possibly a white hat and a gray hoodie over the sweater. More information will be provided here as it becomes available.",Update,9,29,"University Way NE, Seattle, WA 98105, USA","{'bounds': {'northeast': {'lat': 47.67120300000002, 'lng': -122.313015}, 'southwest': {'lat': 47.65304449999998, 'lng': -122.3133565}}, 'location': {'lat': 47.6614651, 'lng': -122.3131373}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 47.67120300000002, 'lng': -122.3118367697085}, 'southwest': {'lat': 47.65304449999998, 'lng': -122.3145347302915}}}"
29,2023-03-18,02:31:00,01:00:00,U Way NE/42nd,Shooting,"One person injured in ankle, suspect fled north on foot","ORIGINAL POST: Shooting on U Way NE/42nd. One person injured in ankle. Suspect fled north on foot. Info: alert.uw.edu

Sent at 2:31am Sat",Original,9,30,"University Way NE, Seattle, WA 98105, USA","{'bounds': {'northeast': {'lat': 47.67120300000002, 'lng': -122.313015}, 'southwest': {'lat': 47.65304449999998, 'lng': -122.3133565}}, 'location': {'lat': 47.6614651, 'lng': -122.3131373}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 47.67120300000002, 'lng': -122.3118367697085}, 'southwest': {'lat': 47.65304449999998, 'lng': -122.3145347302915}}}"
30,2023-03-09,20:47:00,20:24:00,Padelford Garage,Stabbing,Victim unaffiliated with UW transported to UW Medical Center - Montlake.,"UPDATE at 8:47pm: UWPD continues to investigate the stabbing near Padelford Garage. The victim, who does not appear to affiliated with the UW, is being transported to UW Medical Center - Montlake. No further suspect description has been provided and a suspect has not been located. Please stay vigilant. Any further updates will be provided here as they become available.",Update,10,31,"4110 Mason Rd, Seattle, WA 98105, USA","{'bounds': {'northeast': {'lat': 47.65774, 'lng': -122.3025397}, 'southwest': {'lat': 47.6566256, 'lng': -122.3043065}}, 'location': {'lat': 47.6571311, 'lng': -122.3031491}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6585429302915, 'lng': -122.3020741197085}, 'southwest': {'lat': 47.6558449697085, 'lng': -122.3047720802915}}}"
31,2023-03-09,20:30:00,20:24:00,Padelford Garage,Stabbing,An individual was stabbed near Padelford Garage. The suspect was reportedly a male with no further detailed description available. The suspect reportedly fled the area heading west. The victim does not appear to be affiliated with the UW.,UPDATE at 8:30pm: An individual was stabbed near Padelford Garage. The suspect was reportedly a male with no further detailed description available. The suspect reportedly fled the area heading west. The victim does not appear to be affiliated with the UW.,Update,10,32,"4110 Mason Rd, Seattle, WA 98105, USA","{'bounds': {'northeast': {'lat': 47.65774, 'lng': -122.3025397}, 'southwest': {'lat': 47.6566256, 'lng': -122.3043065}}, 'location': {'lat': 47.6571311, 'lng': -122.3031491}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6585429302915, 'lng': -122.3020741197085}, 'southwest': {'lat': 47.6558449697085, 'lng': -122.3047720802915}}}"
32,2023-03-09,20:24:00,20:24:00,Padelford Garage,Stabbing,Report of stabbing near Padelford Garage. UWPD on scene. Avoid area if possible.,"ORIGINAL POST: Report of stabbing near Padelford Garage. UWPD on scene. Avoid area if possible. More info alert.uw.edu

Sent at 8:24 pm Thurs",Original,10,33,"4110 Mason Rd, Seattle, WA 98105, USA","{'bounds': {'northeast': {'lat': 47.65774, 'lng': -122.3025397}, 'southwest': {'lat': 47.6566256, 'lng': -122.3043065}}, 'location': {'lat': 47.6571311, 'lng': -122.3031491}, 'location_type': 'ROOFTOP', 'viewport': {'northeast': {'lat': 47.6585429302915, 'lng': -122.3020741197085}, 'southwest': {'lat': 47.6558449697085, 'lng': -122.3047720802915}}}"
33,2023-01-26,14:39:00,,47th St. and 16th Ave. NE,Suspicious Person,"Man reportedly running near 47th St. and 16th Ave. NE with a gun, between 40 and 50 years old, wearing a black, puffy jacket.","UPDATED at 2:39 p.m. Thursday: Police have not found the man reportedly running near NE 47th St. and 16th Ave. NE with a gun, but continue to patrol the area. The man is described as between 40 and 50 years old, wearing a black, puffy jacket. The area is considered to be reopened. Please stay vigilant and do not engage with anyone who may be armed. Report any potential sightings to 911.",Update,11,34,"NE 47th St & 16th Ave NE, Seattle, WA 98105, USA","{'location': {'lat': 47.6630787, 'lng': -122.3108205}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 47.6644276802915, 'lng': -122.3094715197085}, 'southwest': {'lat': 47.6617297197085, 'lng': -122.3121694802915}}}"
34,2023-01-26,14:25:00,,NE 47th St. near 16th Ave. NE,Man with handgun,Residents should secure doors and windows and others should avoid the area,"UPDATED at 2:25 p.m. Thursday: Seattle police and UWPD are checking the area of NE 47th St. near 16th Ave. NE for a man reportedly running with a handgun. Residents in the area should secure doors and windows and others should avoid the area, if possible. More information will provided here as it becomes available.",Update,11,35,"NE 47th St, Seattle, WA 98105, USA","{'bounds': {'northeast': {'lat': 47.66315160000003, 'lng': -122.2882227}, 'southwest': {'lat': 47.66260339999997, 'lng': -122.3207053}}, 'location': {'lat': 47.6630623, 'lng': -122.3054501}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 47.6642264802915, 'lng': -122.2882227}, 'southwest': {'lat': 47.6615285197085, 'lng': -122.3207053}}}"
35,2023-01-26,14:22:00,,47th St. near 16th Ave.,Police,Looking for man with handgun,"ORIGINAL POST: Police looking for man with handgun on 47th St. near 16th Ave. Secure doors, avoid area if possible. Info: alert.uw.edu

Sent at 2:22pm Thu",Original,11,36,"16th Ave NE, Seattle, WA, USA","{'bounds': {'northeast': {'lat': 47.67239740000003, 'lng': -122.3107338}, 'southwest': {'lat': 47.66126689999997, 'lng': -122.3108621}}, 'location': {'lat': 47.6685304, 'lng': -122.3107584}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 47.67239740000003, 'lng': -122.3094489697085}, 'southwest': {'lat': 47.66126689999997, 'lng': -122.3121469302915}}}"
36,2023-01-10,14:23:00,,,Application Outage,Availability of many UW applications and of the UW Groups service was impacted,"UPDATE at 2:23 p.m. Tuesday: UW-IT has resolved the issue affecting the availability of many UW applications and of the UW Groups service. If you continue to have trouble accessing any UW web applications, you may need to quit and restart your browser to refresh your session. 

Some applications known to have been impacted were MyUW, Canvas, Panopto, Husky OnNet, Zoom, eSignatures, and Document Management. Requirements for two-factor authentication (2FA) with Duo were also not enforced during the outage.

We encourage you to sign up for the eOutage mailing list to find out about major UW-IT computing incidents in the future. You can sign up for eOutage here: https://eoutage.uw.edu/.",Update,12,37,"University District, Seattle, WA, USA","{'bounds': {'northeast': {'lat': 47.6743199, 'lng': -122.2864358}, 'southwest': {'lat': 47.6474201, 'lng': -122.3222372}}, 'location': {'lat': 47.6627771, 'lng': -122.3138767}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 47.6743199, 'lng': -122.2864358}, 'southwest': {'lat': 47.6474201, 'lng': -122.3222372}}}"
37,2023-01-10,,,,Outage,"Problems accessing content on my.uw.edu, creating, updating, or accessing UW Groups service, and logging into services including Zoom, Canvas, and MyUW.","ORIGINAL POST: UW-IT engineers are investigating an outage that could prevent users from accessing content on pages such as my.uw.edu, and problems creating, updating, or accessing the UW Groups service. This may impact logging into services including, but not limited to Zoom, Canvas, MyUW, etc.

Updates will be provided here as they become available.",Original,12,38,"University District, Seattle, WA, USA","{'bounds': {'northeast': {'lat': 47.6743199, 'lng': -122.2864358}, 'southwest': {'lat': 47.6474201, 'lng': -122.3222372}}, 'location': {'lat': 47.6627771, 'lng': -122.3138767}, 'location_type': 'APPROXIMATE', 'viewport': {'northeast': {'lat': 47.6743199, 'lng': -122.2864358}, 'southwest': {'lat': 47.6474201, 'lng': -122.3222372}}}"
38,2022-12-24,13:24:00,12:46:00,"Roosevelt Ave. NE, near 42nd St. NE",Shooting Incident,Seattle police have not located the suspect or victim.,"UPDATE at 1:24pm Saturday: Seattle police have not located the suspect or victim in the shooting incident on Roosevelt Ave. NE, near 42nd St. NE. Police will continue to investigate, but the area is being reopened. Please stay vigilant if you are in the area. Further updates will be provided here if they become available.",Update,13,39,"NE 42nd St, Seattle, WA 98105, USA","{'bounds': {'northeast': {'lat': 47.65917800000003, 'lng': -122.2874247}, 'southwest': {'lat': 47.65751399999997, 'lng': -122.3218645}}, 'location': {'lat': 47.6583014, 'lng': -122.3120322}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 47.6596949802915, 'lng': -122.2874247}, 'southwest': {'lat': 47.6569970197085, 'lng': -122.3218645}}}"
39,2022-12-24,13:04:00,12:46:00,Roosevelt Ave. NE near 42nd Ave. NE,,Updated vehicle description to a black Chevy Malibu,UPDATED at 1:04pm Saturday: The vehicle description has been updated to a black Chevy Malibu. No change to the license plate number.,Update,13,40,"42nd Ave NE, Seattle, WA, USA","{'bounds': {'northeast': {'lat': 47.7334185, 'lng': -122.2737519}, 'southwest': {'lat': 47.6539081, 'lng': -122.291433}}, 'location': {'lat': 47.692357, 'lng': -122.2825431}, 'location_type': 'GEOMETRIC_CENTER', 'viewport': {'northeast': {'lat': 47.7334185, 'lng': -122.2737519}, 'southwest': {'lat': 47.6539081, 'lng': -122.291433}}}"
